dia,mes,ano,hora,temp,hum,data
3.0,10.0,2021.0,8.0,23.220338983050848,53.13559322033898,3-10-2021 8
3.0,10.0,2021.0,9.0,26.016666666666666,42.333333333333336,3-10-2021 9
3.0,10.0,2021.0,10.0,27.183333333333334,37.18333333333333,3-10-2021 10
3.0,10.0,2021.0,11.0,27.216666666666665,35.05,3-10-2021 11
3.0,10.0,2021.0,12.0,25.733333333333334,41.833333333333336,3-10-2021 12
3.0,10.0,2021.0,13.0,23.366666666666667,62.25,3-10-2021 13
3.0,10.0,2021.0,14.0,22.333333333333332,64.61666666666666,3-10-2021 14
3.0,10.0,2021.0,15.0,23.677966101694917,54.186440677966104,3-10-2021 15
3.0,10.0,2021.0,16.0,22.35,54.36666666666667,3-10-2021 16
3.0,10.0,2021.0,17.0,20.95,69.26666666666667,3-10-2021 17
3.0,10.0,2021.0,18.0,20.0,72.35,3-10-2021 18
3.0,10.0,2021.0,19.0,19.866666666666667,75.18333333333334,3-10-2021 19
3.0,10.0,2021.0,20.0,19.016666666666666,76.4,3-10-2021 20
3.0,10.0,2021.0,21.0,19.0,73.83333333333333,3-10-2021 21
3.0,10.0,2021.0,22.0,19.0,74.78333333333333,3-10-2021 22
3.0,10.0,2021.0,23.0,18.833333333333332,79.63333333333334,3-10-2021 23
4.0,10.0,2021.0,0.0,19.0,81.36666666666666,4-10-2021 0
4.0,10.0,2021.0,1.0,19.0,82.21666666666667,4-10-2021 1
4.0,10.0,2021.0,2.0,18.966666666666665,84.21666666666667,4-10-2021 2
4.0,10.0,2021.0,3.0,18.9,85.0,4-10-2021 3
4.0,10.0,2021.0,4.0,18.916666666666668,85.48333333333333,4-10-2021 4
4.0,10.0,2021.0,5.0,18.933333333333334,85.1,4-10-2021 5
4.0,10.0,2021.0,6.0,19.0,84.28333333333333,4-10-2021 6
4.0,10.0,2021.0,7.0,19.05,82.28333333333333,4-10-2021 7
4.0,10.0,2021.0,8.0,19.844827586206897,77.75862068965517,4-10-2021 8
4.0,10.0,2021.0,9.0,21.716666666666665,66.2,4-10-2021 9
4.0,10.0,2021.0,10.0,24.016666666666666,54.96666666666667,4-10-2021 10
4.0,10.0,2021.0,11.0,25.766666666666666,47.5,4-10-2021 11
4.0,10.0,2021.0,12.0,25.683333333333334,49.45,4-10-2021 12
4.0,10.0,2021.0,13.0,25.066666666666666,53.8,4-10-2021 13
